poliza;predio_cop_2024;estrato;sistema_constructivo;tipo_predio;localidad;area_construida;alcobas;banos;subestructura_cimentacion;divisiones_interiores;fachada;ventaneria;pisos_alcobas;tipo_cocina;pisos_baños;lavadero;puerta_principal;puertas_interiores
7309;539417.3256;4;Tradicional aporticado;Apartamento;Engativá;78;3;2;Cimentaciones - Pilotes;Concreto;Graniplast;Aluminio;Alfombra;Integral;Ceramica;Granito;Madera;Madecor
7310;585948.5325;4;Tradicional aporticado;Apartamento;Engativá;83;3;2;Cimentaciones - Pilotes;Concreto;Graniplast;Aluminio;Alfombra;Integral;Ceramica;Granito;Madera;Madecor
7311;619314.8547;4;Tradicional aporticado;Apartamento;Engativá;93;3;2;Cimentaciones - Pilotes;Concreto;Graniplast;Aluminio;Alfombra;Integral;Ceramica;Granito;Madera;Madecor
7312;186124.828;3;Tradicional aporticado;Apartamento;San Cristóbal;28;3;1;Cimentaciones - Zapatas;Bloque de arcilla;Piedra;Aluminio;Laminado madera;Sin definir;Ceramica;Sin definir;Sin definir;Sin definir
7313;296421.0223;3;Tradicional aporticado;Apartamento;San Cristóbal;48;3;1;Cimentaciones - Zapatas;Bloque de arcilla;Piedra;Aluminio;Laminado madera;Sin definir;Ceramica;Sin definir;Sin definir;Sin definir
7314;325718.449;3;Tradicional aporticado;Apartamento;San Cristóbal;53;3;1;Cimentaciones - Zapatas;Bloque de arcilla;Piedra;Aluminio;Laminado madera;Sin definir;Ceramica;Sin definir;Sin definir;Sin definir
7315;241272.9252;3;Tradicional aporticado;Apartamento;San Cristóbal;37;2;1;Cimentaciones - Zapatas;Bloque de arcilla;Piedra;Aluminio;Laminado madera;Sin definir;Ceramica;Sin definir;Sin definir;Sin definir
7316;430844.5092;4;Tradicional aporticado;Apartamento;Usaquen;44;2;1;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Ceramica;Integral;Ceramica;Sin definir;Madera;Madecor
7317;461865.3139;4;Tradicional aporticado;Apartamento;Usaquen;47;2;1;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Ceramica;Integral;Ceramica;Sin definir;Madera;Madecor
7318;525630.3013;4;Tradicional aporticado;Apartamento;Usaquen;53;2;1;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Ceramica;Integral;Ceramica;Sin definir;Madera;Madecor
