poliza;predio_cop_2024;estrato;sistema_constructivo;tipo_predio;localidad;area_construida;alcobas;banos;subestructura_cimentacion;divisiones_interiores;fachada;ventaneria;pisos_alcobas;tipo_cocina;pisos_baños;lavadero;puerta_principal;puertas_interiores
1;213025.4489;4;Industrializado - Manoportable;Apartamento;Kennedy;53;3;1;Cimentaciones - Pilotes;Concreto;Graniplast;Aluminio;Alfombra;Sólo mesón;Ceramica;Granito;Metalica;Madecor
2;227855.2975;4;Industrializado - Manoportable;Apartamento;Kennedy;53;3;1;Cimentaciones - Pilotes;Concreto;Graniplast;Aluminio;Alfombra;Sólo mesón;Ceramica;Granito;Metalica;Madecor
3;210740.0552;4;Industrializado - Manoportable;Apartamento;Kennedy;53;3;1;Cimentaciones - Pilotes;Concreto;Graniplast;Aluminio;Alfombra;Sólo mesón;Ceramica;Granito;Metalica;Madecor
4;420918.4228;4;Tradicional aporticado;Apartamento;Teusaquillo;92;3;2;Cimentaciones - Pilotes;Bloque de arcilla;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Vidrio;Sin definir;Aglomerado
5;304250.8164;4;Tradicional aporticado;Apartamento;Teusaquillo;76;2;2;Cimentaciones - Pilotes;Bloque de arcilla;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Vidrio;Sin definir;Aglomerado
6;170807.4759;4;Industrializado - Manoportable;Apartamento;Kennedy;53;3;1;Cimentaciones - Pilotes;Concreto;Graniplast;Aluminio;Alfombra;Sólo mesón;Ceramica;Granito;Metalica;Madecor
7;420918.4228;4;Tradicional aporticado;Apartamento;Teusaquillo;92;3;2;Cimentaciones - Pilotes;Bloque de arcilla;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Vidrio;Sin definir;Aglomerado
8;304250.8164;4;Tradicional aporticado;Apartamento;Teusaquillo;76;2;2;Cimentaciones - Pilotes;Bloque de arcilla;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Vidrio;Sin definir;Aglomerado
9;201918.6823;4;Estructura metálica;Apartamento;Kennedy;67;2;3;Cimentaciones - Estructura metálica;Concreto;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Concreto;Madera;Madecor
10;225552.7205;4;Estructura metálica;Apartamento;Kennedy;75;2;3;Cimentaciones - Estructura metálica;Concreto;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Concreto;Madera;Madecor
11;254373.0363;4;Industrializado - Manoportable;Apartamento;Kennedy;59;3;2;Cimentaciones - Pilotes;Concreto;Graniplast;Aluminio;Alfombra;Sólo mesón;Ceramica;Granito;Metalica;Madecor
12;261207.9026;4;Industrializado - Manoportable;Apartamento;Kennedy;84;3;2;Cimentaciones - Pilotes;Concreto;Graniplast;Aluminio;Alfombra;Sólo mesón;Ceramica;Granito;Metalica;Madecor
13;158164.6679;4;Industrializado - Manoportable;Apartamento;Kennedy;50;3;3;Cimentaciones - Pilotes;Concreto;Graniplast;Aluminio;Alfombra;Sólo mesón;Ceramica;Granito;Metalica;Madecor
14;326124.1837;4;Industrializado - Manoportable;Apartamento;Kennedy;74;3;3;Cimentaciones - Pilotes;Concreto;Graniplast;Aluminio;Alfombra;Sólo mesón;Ceramica;Granito;Metalica;Madecor
15;239788.4002;4;Industrializado - Manoportable;Apartamento;Kennedy;76;3;3;Cimentaciones - Pilotes;Concreto;Graniplast;Aluminio;Alfombra;Sólo mesón;Ceramica;Granito;Metalica;Madecor
16;330082.7853;4;Tradicional aporticado;Apartamento;Teusaquillo;92;3;2;Cimentaciones - Pilotes;Bloque de arcilla;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Vidrio;Sin definir;Aglomerado
17;238592.448;4;Tradicional aporticado;Apartamento;Teusaquillo;76;2;2;Cimentaciones - Pilotes;Bloque de arcilla;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Vidrio;Sin definir;Aglomerado
18;1402795.227;6;Tradicional aporticado;Apartamento;Usaquen;108;2;4;Cimentaciones - Estructura metálica;Bloque de arcilla;Tableta arcilla;Aluminio;Alfombra;Semi integral;Ceramica;Vidrio;Madera;Madecor
19;1001609.901;4;Mamposteria estructural;Casa;Suba;181;3;4;Cimentaciones - Pilotes;Bloque de arcilla;Pañete - estuco - pintura;Aluminio;Alfombra;Integral;Ceramica;Vidrio;Sin definir;Otro
20;229921.7952;4;Mamposteria estructural;Apartamento;Engativá;81;3;2;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Vidrio;Metalica;Madera
21;528909.8253;4;Mamposteria estructural;Apartamento;Engativá;140;3;3;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Vidrio;Metalica;Madera
22;200022.9922;4;Mamposteria estructural;Apartamento;Engativá;70;3;2;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Vidrio;Metalica;Madera
23;342341.2945;4;Mamposteria estructural;Apartamento;Engativá;115;3;3;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Vidrio;Metalica;Madera
24;221251.1423;4;Estructura metálica;Apartamento;Kennedy;61;3;3;Cimentaciones - Estructura metálica;Concreto;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Concreto;Madera;Madecor
25;251149.9453;4;Estructura metálica;Apartamento;Kennedy;67;3;3;Cimentaciones - Estructura metálica;Concreto;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Concreto;Madera;Madecor
26;272079.1074;4;Estructura metálica;Apartamento;Kennedy;75;3;3;Cimentaciones - Estructura metálica;Concreto;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Concreto;Madera;Madecor
27;200022.9922;4;Mamposteria estructural;Apartamento;Engativá;70;3;2;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Vidrio;Metalica;Madera
28;427253.8951;4;Mamposteria estructural;Apartamento;Engativá;115;3;3;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Vidrio;Metalica;Madera
29;334866.5937;4;Tradicional aporticado;Apartamento;Teusaquillo;92;3;2;Cimentaciones - Pilotes;Bloque de arcilla;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Vidrio;Sin definir;Aglomerado
30;505478.029;4;Industrializado - Outinord;Apartamento;Usaquen;101;3;3;Cimentaciones - Pilotes;Bloque de arcilla;Concreto a la vista;Aluminio;Alfombra;Sin definir;Ceramica;Sin definir;Sin definir;Sin definir
31;605988.6524;4;Industrializado - Manoportable;Apartamento;Fontibón;106;3;2;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Alfombra;Integral;Ceramica;Vidrio;Seguridad;Melaminico
32;520667.6305;4;Industrializado - Manoportable;Apartamento;Fontibón;91;3;2;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Alfombra;Integral;Ceramica;Vidrio;Seguridad;Melaminico
33;474500.5485;4;Industrializado - Manoportable;Apartamento;Fontibón;83;2;1;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Alfombra;Integral;Ceramica;Vidrio;Seguridad;Melaminico
34;346527.1269;4;Mamposteria estructural;Apartamento;Engativá;70;3;2;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Vidrio;Metalica;Madera
35;412259.6453;4;Mamposteria estructural;Apartamento;Engativá;115;3;3;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Vidrio;Metalica;Madera
36;209291.6211;4;Mamposteria estructural;Apartamento;Engativá;70;3;2;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Vidrio;Metalica;Madera
37;412259.6453;4;Mamposteria estructural;Apartamento;Engativá;115;3;3;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Vidrio;Metalica;Madera
38;328886.8331;4;Mamposteria estructural;Apartamento;Engativá;70;3;2;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Vidrio;Metalica;Madera
39;432889.8194;4;Mamposteria estructural;Apartamento;Engativá;115;3;2;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Vidrio;Metalica;Madera
40;346527.1269;4;Mamposteria estructural;Apartamento;Engativá;81;3;2;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Vidrio;Metalica;Madera
41;339010.5678;4;Mamposteria estructural;Apartamento;Engativá;89;3;2;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Vidrio;Metalica;Madera
42;342347.6919;4;Industrializado - Outinord;Apartamento;Suba;58;2;2;Cimentaciones - Pilotes;Concreto;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Madecor
43;392204.1519;4;Industrializado - Outinord;Apartamento;Suba;67;3;2;Cimentaciones - Pilotes;Concreto;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Madecor
44;176159.492;3;Mamposteria estructural;Casa;Suba;74;2;1;Cimentaciones - Pilotes;Ladrillo de arcilla;Tableta arcilla;Aluminio;Alfombra;Sólo mesón;Ceramica;Granito;Madera;Sin definir
45;1395980.88;4;Mamposteria estructural;Casa;Suba;181;3;2;Cimentaciones - Pilotes;Bloque de arcilla;Pañete - estuco - pintura;Aluminio;Alfombra;Integral;Ceramica;Vidrio;Sin definir;Otro
46;393866.0339;4;Industrializado - Outinord;Apartamento;Suba;78;3;3;Cimentaciones - Pilotes;Concreto;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Madecor
47;297626.4473;3;Mamposteria estructural;Casa;Antonio Nariño;78;2;1;Cimentaciones - Pilotes;Ladrillo de arcilla;Sin definir;Aluminio;Alfombra;Sin definir;Sin definir;Sin definir;Madera;Sin definir
48;508535.8919;4;Industrilizado - Contech;Apartamento;Chapinero;49;3;2;Cimentaciones - Caissons;Bloque de arcilla;Tableta arcilla;Aluminio;Laminado madera;Integral;Ceramica;Granito;Metalica;Madecor
49;466324.0891;4;Industrilizado - Contech;Apartamento;Chapinero;61;3;2;Cimentaciones - Caissons;Bloque de arcilla;Tableta arcilla;Aluminio;Laminado madera;Integral;Ceramica;Granito;Metalica;Madecor
50;667577.9993;4;Industrilizado - Contech;Apartamento;Chapinero;78;3;2;Cimentaciones - Caissons;Bloque de arcilla;Tableta arcilla;Aluminio;Laminado madera;Integral;Ceramica;Granito;Metalica;Madecor
51;469390.2781;4;Tradicional aporticado;Apartamento;Santa fe;69;1;2;Cimentaciones - Pilotes;Bloque de arcilla;Concreto a la vista;Aluminio;Alfombra;Integral;Ceramica;Vidrio;Madera;Aglomerado
52;647901.3164;4;Industrializado - Outinord;Apartamento;Usaquen;101;3;3;Cimentaciones - Pilotes;Bloque de arcilla;Concreto a la vista;Aluminio;Alfombra;Sin definir;Ceramica;Sin definir;Sin definir;Sin definir
53;715091.2056;4;Tradicional aporticado;Apartamento;Teusaquillo;92;3;2;Cimentaciones - Pilotes;Bloque de arcilla;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Vidrio;Sin definir;Aglomerado
54;572352.1607;4;Estructura metálica;Apartamento;Kennedy;82;2;2;Cimentaciones - Estructura metálica;Concreto;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Concreto;Madera;Madecor
55;1594791.823;4;Tradicional aporticado;Apartamento;Chapinero;128;3;3;Cimentaciones - Estructura metálica;Bloque de arcilla;Ladrillo a la vista;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Sin definir
56;1512312.62;4;Tradicional aporticado;Apartamento;Chapinero;147;3;4;Cimentaciones - Estructura metálica;Bloque de arcilla;Ladrillo a la vista;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Sin definir
57;569028.3967;4;Mamposteria estructural;Apartamento;Suba;107;3;3;Cimentaciones - Estructura metálica;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Sin definir
58;698821.3809;4;Mamposteria estructural;Apartamento;Suba;145;3;3;Cimentaciones - Estructura metálica;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Sin definir
59;989152.1662;4;Mamposteria estructural;Apartamento;Suba;186;4;4;Cimentaciones - Estructura metálica;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Sin definir
60;176159.492;2;Industrializado - Outinord;Apartamento;Kennedy;63;3;3;Otro;Concreto;Sin definir;PVC;Piso afinado;Sólo mesón;Cemento afinado;Sin definir;Metalica;Sin definir
61;989152.1662;5;Tradicional aporticado;Apartamento;Chapinero;93;3;3;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Sin definir
62;520667.6305;4;Industrializado - Manoportable;Apartamento;Fontibón;90;3;2;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Alfombra;Integral;Ceramica;Vidrio;Seguridad;Melaminico
63;420456.1459;4;Industrializado - Outinord;Apartamento;Suba;58;3;3;Cimentaciones - Pilotes;Concreto;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Madecor
64;448708.1399;4;Industrializado - Outinord;Apartamento;Suba;67;3;3;Cimentaciones - Pilotes;Concreto;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Madecor
65;557395.2227;4;Industrializado - Outinord;Apartamento;Suba;78;3;3;Cimentaciones - Pilotes;Concreto;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Madecor
66;515183.4199;4;Industrializado - Outinord;Apartamento;Suba;69;3;2;Cimentaciones - Pilotes;Concreto;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Madecor
67;629517.5777;4;Industrializado - Outinord;Apartamento;Suba;87;3;2;Cimentaciones - Pilotes;Concreto;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Madecor
68;762803.8378;4;Industrializado - Outinord;Apartamento;Suba;100;3;3;Cimentaciones - Pilotes;Concreto;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Madecor
69;510821.7914;3;Industrializado - Outinord;Apartamento;Suba;77;3;2;Cimentaciones - Pilotes;Concreto;Concreto a la vista;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Metalica;Madecor
70;537120.2623;4;Mamposteria estructural;Apartamento;Suba;67;3;3;Cimentaciones - Placa flotada;Concreto;Ladrillo a la vista;Aluminio;Ceramica;Integral;Ceramica;Granito;Metalica;Madecor
71;949921.7797;4;Mamposteria estructural;Apartamento;Suba;113;3;2;Cimentaciones - Placa flotada;Concreto;Ladrillo a la vista;Aluminio;Ceramica;Integral;Ceramica;Granito;Metalica;Madecor
72;1116784.704;4;Mamposteria estructural;Apartamento;Suba;168;4;4;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Madecor
73;1593675.039;4;Mamposteria estructural;Apartamento;Suba;193;4;4;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Madecor
74;538183.8668;4;Tradicional aporticado;Apartamento;Suba;88;3;3;Cimentaciones - Estructura metálica;Ladrillo de arcilla;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Madecor
75;591629.9919;4;Tradicional aporticado;Apartamento;Suba;73;3;2;Cimentaciones - Estructura metálica;Ladrillo de arcilla;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Madecor
76;714609.2599;4;Tradicional aporticado;Apartamento;Suba;88;3;3;Cimentaciones - Estructura metálica;Ladrillo de arcilla;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Madecor
77;558392.3519;4;Tradicional aporticado;Apartamento;Suba;73;3;2;Cimentaciones - Estructura metálica;Ladrillo de arcilla;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Madecor
78;351820.4193;5;Tradicional aporticado;Apartamento;Usaquen;58;1;2;Cimentaciones - Pilotes;Concreto;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Madera
79;570191.7141;5;Tradicional aporticado;Apartamento;Usaquen;94;3;3;Cimentaciones - Pilotes;Concreto;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Madera
80;454857.1033;5;Tradicional aporticado;Apartamento;Usaquen;79;2;2;Cimentaciones - Pilotes;Concreto;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Madera
81;503467.1518;5;Tradicional aporticado;Apartamento;Usaquen;83;3;2;Cimentaciones - Pilotes;Concreto;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Madera
82;754431.2763;5;Tradicional aporticado;Apartamento;Usaquen;105;3;4;Cimentaciones - Pilotes;Concreto;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Madera
83;1057787.893;5;Tradicional aporticado;Apartamento;Usaquen;134;3;4;Cimentaciones - Pilotes;Concreto;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Madera
84;1070238.713;5;Tradicional aporticado;Apartamento;Usaquen;131;3;4;Cimentaciones - Pilotes;Concreto;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Madera
85;643148.3339;5;Tradicional aporticado;Apartamento;Usaquen;86;3;2;Cimentaciones - Pilotes;Concreto;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Madera
86;193775.4412;3;Industrializado - Manoportable;Apartamento;Kennedy;43;3;1;Cimentaciones - Estructura metálica;Bloque de arcilla;Caraplast;Aluminio;Ceramica;Semi integral;Ceramica;Granito;Metalica;Sin definir
87;1338257.07;6;Tradicional aporticado;Apartamento;Usaquen;145;3;4;Cimentaciones - Estructura metálica;Bloque de arcilla;Concreto a la vista;Aluminio;Sin definir;Sin definir;Ceramica;Vidrio;Madera;Madecor
88;1438595.976;5;Industrializado - Outinord;Apartamento;Suba;113;3;3;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Integral;Ceramica;Granito;Madera;Madecor
89;285843.7039;4;Industrilizado - Contech;Apartamento;Kennedy;72;3;2;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Sin definir;Madera;Madecor
90;471974.4879;4;Industrilizado - Contech;Apartamento;Kennedy;84;3;2;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Sin definir;Madera;Madecor
91;167533.83;2;Mamposteria estructural;Apartamento;Kennedy;53;3;1;Cimentaciones - Estructura metálica;Bloque de arcilla;Ladrillo a la vista;Aluminio;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir
92;167533.83;2;Mamposteria estructural;Apartamento;Kennedy;53;3;1;Cimentaciones - Estructura metálica;Bloque de arcilla;Ladrillo a la vista;Aluminio;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir
93;515183.4199;4;Industrializado - Manoportable;Apartamento;Kennedy;77;3;2;Cimentaciones - Pilotes;Concreto;Graniplast;Aluminio;Alfombra;Sólo mesón;Ceramica;Granito;Metalica;Madecor
94;760338.5895;5;Tradicional aporticado;Apartamento;Usaquen;62;3;2;Cimentaciones - Pilotes;Concreto;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Madera
95;982349.5988;5;Tradicional aporticado;Apartamento;Usaquen;105;3;2;Cimentaciones - Pilotes;Concreto;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Madera
96;1198466.511;5;Tradicional aporticado;Apartamento;Usaquen;122;3;3;Cimentaciones - Pilotes;Concreto;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Madera
97;910711.3358;4;Industrializado - Manoportable;Apartamento;Fontibón;90;3;2;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Alfombra;Integral;Ceramica;Vidrio;Seguridad;Melaminico
98;295814.9959;4;Tradicional aporticado;Apartamento;Kennedy;69;2;2;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Sin definir;Metalica;Madecor
99;352179.3858;4;Tradicional aporticado;Apartamento;Kennedy;69;2;2;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Sin definir;Metalica;Madecor
100;168964.131;3;Industrializado - Manoportable;Apartamento;Kennedy;43;2;1;Cimentaciones - Estructura metálica;Bloque de arcilla;Caraplast;Aluminio;Ceramica;Semi integral;Ceramica;Granito;Metalica;Sin definir
101;679785.9224;4;Tradicional aporticado;Apartamento;Suba;70;1;1;Cimentaciones - Pilotes;Bloque de arcilla;Concreto a la vista;Aluminio;Porcelanato;Integral;Porcelanato;Vidrio;Madera;Madera
102;990208.3956;4;Tradicional aporticado;Apartamento;Suba;102;3;2;Cimentaciones - Pilotes;Bloque de arcilla;Concreto a la vista;Aluminio;Porcelanato;Integral;Porcelanato;Vidrio;Madera;Madera
103;1080584.559;4;Tradicional aporticado;Apartamento;Suba;97;2;2;Cimentaciones - Pilotes;Bloque de arcilla;Concreto a la vista;Aluminio;Porcelanato;Integral;Porcelanato;Vidrio;Madera;Madera
104;792166.7165;4;Industrializado - Outinord;Apartamento;Suba;96;3;2;Cimentaciones - Pilotes;Concreto;Concreto a la vista;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Sin definir
105;943055.6149;4;Industrializado - Outinord;Apartamento;Suba;100;3;3;Cimentaciones - Pilotes;Concreto;Concreto a la vista;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Sin definir
106;1355642.446;4;Industrializado - Outinord;Apartamento;Suba;150;3;3;Cimentaciones - Pilotes;Concreto;Concreto a la vista;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Sin definir
107;1139525.535;5;Tradicional aporticado;Apartamento;Suba;116;3;4;Cimentaciones - Pilotes;Bloque de arcilla;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Vidrio;Madera;Melaminico
108;1151313.73;5;Tradicional aporticado;Apartamento;Suba;141;3;4;Cimentaciones - Pilotes;Bloque de arcilla;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Vidrio;Madera;Melaminico
109;595307.7863;4;Mamposteria estructural;Apartamento;Usaquen;60;2;2;Cimentaciones - Estructura metálica;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Aglomerado
110;754444.4919;4;Mamposteria estructural;Apartamento;Usaquen;71;3;2;Cimentaciones - Estructura metálica;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Aglomerado
111;787789.3667;4;Mamposteria estructural;Apartamento;Usaquen;81;3;3;Cimentaciones - Estructura metálica;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Aglomerado
112;892959.7148;4;Mamposteria estructural;Apartamento;Usaquen;90;3;3;Cimentaciones - Estructura metálica;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Aglomerado
113;514751.1898;4;Industrilizado - Contech;Apartamento;Kennedy;72;3;2;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Sin definir;Madera;Madecor
114;864467.647;4;Tradicional aporticado;Apartamento;Suba;88;3;3;Cimentaciones - Estructura metálica;Ladrillo de arcilla;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Madecor
115;700144.1355;4;Tradicional aporticado;Apartamento;Suba;73;3;2;Cimentaciones - Estructura metálica;Ladrillo de arcilla;Tableta arcilla;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Madecor
116;988636.6363;6;Tradicional aporticado;Apartamento;Usaquen;68;2;2;Cimentaciones - Estructura metálica;Bloque de arcilla;Ladrillo a la vista;Aluminio;Alfombra;Integral;Ceramica;Vidrio;Seguridad;Madera
117;1007890.688;4;Industrializado - Outinord;Apartamento;Fontibón;80;3;2;Cimentaciones - Pilotes;Concreto;Concreto a la vista;Aluminio;Laminado madera;Integral;Ceramica;Vidrio;Metalica;Otro
118;451880.8155;3;Industrializado - Outinord;Apartamento;Usaquen;69;3;2;Cimentaciones - Pilotes;Concreto;Graniplast;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Seguridad;Madecor
119;1201452.853;4;Industrializado - Outinord;Apartamento;Fontibón;98;3;2;Cimentaciones - Pilotes;Concreto;Concreto a la vista;Aluminio;Laminado madera;Integral;Ceramica;Vidrio;Metalica;Otro
120;1458907.036;4;Industrializado - Outinord;Apartamento;Fontibón;119;3;3;Cimentaciones - Pilotes;Concreto;Concreto a la vista;Aluminio;Laminado madera;Integral;Ceramica;Vidrio;Metalica;Otro
121;1604035.437;4;Industrializado - Outinord;Apartamento;Fontibón;130;3;3;Cimentaciones - Pilotes;Concreto;Concreto a la vista;Aluminio;Laminado madera;Integral;Ceramica;Vidrio;Metalica;Otro
122;1691841.773;4;Industrializado - Outinord;Apartamento;Fontibón;138;4;4;Cimentaciones - Pilotes;Concreto;Concreto a la vista;Aluminio;Laminado madera;Integral;Ceramica;Vidrio;Metalica;Otro
123;609056.7513;4;Mamposteria estructural;Apartamento;Engativá;89;3;3;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Vidrio;Metalica;Madera
124;1021643.583;4;Mamposteria estructural;Apartamento;Engativá;122;3;3;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Vidrio;Metalica;Madera
125;609056.7513;4;Mamposteria estructural;Apartamento;Engativá;89;3;2;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Vidrio;Metalica;Madera
126;1021643.583;4;Mamposteria estructural;Apartamento;Engativá;122;3;3;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Semi integral;Ceramica;Vidrio;Metalica;Madera
127;778020.8823;4;Mamposteria estructural;Apartamento;Usaquen;69;3;2;Cimentaciones - Estructura metálica;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Aglomerado
128;817314.8662;4;Mamposteria estructural;Apartamento;Usaquen;73;3;3;Cimentaciones - Estructura metálica;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Aglomerado
129;604734.4131;4;Mamposteria estructural;Apartamento;Usaquen;72;3;3;Cimentaciones - Estructura metálica;Concreto;Ladrillo a la vista;Aluminio;Alfombra;Integral;Ceramica;Sin definir;Madera;Aglomerado
